msisdn,grade,nasCode,price_baht_month,sum,oper,luckyTypes,pool,pools
0966645357,A+,0171127,699,51,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 3}]",khanthep,khanthep
0954082552,A,0197592,499,40,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 2}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0820817444,A,0197592,499,38,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 3}]",rahu-AAAA,rahu-AAAA
0886595563,luckypair,0207645,899,55,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 4}]",universal,universal
0832474666,luckypair,0207647,899,46,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 5}]",universal,universal
0802914147,luckypair,0207644,699,36,RF,"[{""name"": ""การงาน"", ""star"": 5}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 4}]",universal,universal
0959838558,A++,0197594,899,60,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 2}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0952183663,A+++,0197595,1199,43,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 3}]",rahu-AAAA,"ajchang,khanthep,rahu-AAAA,universal"
0855834446,nicelucky,0171176,499,47,RF,"[{""name"": ""การงาน"", ""star"": 2}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",ajchang,ajchang
0964131555,sum,0171133,699,39,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",universal,universal
0902890111,A,0197592,499,31,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0967585333,nice,0171149,699,49,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 3}]",universal,universal
0957766446,sum,0171134,899,54,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 5}]",universal,"ajchang,universal"
0825957070,A,0197592,499,43,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0825671666,A,0197592,499,47,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 3}]",rahu-AAAA,rahu-AAAA
0918583444,A++,0197594,899,46,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 4}]",rahu-AAAA,rahu-AAAA
0658619111,nice,0171150,899,38,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 3}]",universal,universal
0820429991,luckypair,0207647,899,44,RF,"[{""name"": ""การงาน"", ""star"": 5}, {""name"": ""การเงิน"", ""star"": 5}, {""name"": ""ความรัก"", ""star"": 3}]",universal,universal
0963125225,nice,0171150,899,35,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 3}]",universal,"ajchang,universal"
0968744717,luckypair,0207644,699,53,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 3}]",universal,"khanthep,universal"
0825152223,A,0197592,499,30,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0966636217,nice,0171149,699,46,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 4}]",universal,"ajchang,khanthep,universal"
0643595928,luckypair,0207644,699,51,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 3}]",universal,universal
0962755529,A+,0179016,699,50,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 3}]",naga,"ajchang,naga"
0959188860,nicelucky,0171176,499,54,RF,"[{""name"": ""การงาน"", ""star"": 5}, {""name"": ""การเงิน"", ""star"": 5}, {""name"": ""ความรัก"", ""star"": 4}]",ajchang,ajchang
0964125353,nice,0171149,699,38,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 3}]",universal,"khanthep,universal"
0957733775,nice,0171151,1199,53,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 3}]",universal,universal
0802262697,luckypair,0207650,1199,42,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 5}]",universal,universal
0961379777,nice,0171150,899,56,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 4}]",universal,"naga,universal"
0967549222,sum,0171133,699,46,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 4}]",universal,"ajchang,emperor,naga,universal"
0889768444,nice,0171149,699,58,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 3}]",universal,universal
0641858338,A++,0197594,899,46,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 4}]",rahu-AAAA,rahu-AAAA
0963633238,A+,0197593,699,43,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,"khanthep,rahu-AAAA,universal"
0956134526,jaturachoke,0171174,599,41,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 3}]",ajchang,ajchang
0957814666,nice,0171149,699,52,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 4}]",universal,universal
0954127444,nice,0171149,699,40,RF,"[{""name"": ""การงาน"", ""star"": 2}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",universal,universal
0889566611,nice,0171150,899,50,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 4}]",universal,universal
0962983377,A,0197592,499,54,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 4}]",rahu-AAAA,rahu-AAAA
0648914496,luckypair,0207643,499,51,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 4}]",universal,universal
0953651144,nice,0171149,699,38,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 3}]",universal,"ajchang,universal"
0952144778,A+,0197593,699,47,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0918372223,A,0197592,499,37,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0956393777,nice,0171149,699,56,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 4}]",universal,"naga,universal"
0938687776,A,0197592,499,61,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 3}]",rahu-AAAA,rahu-AAAA
0955366611,nice,0171150,899,42,RF,"[{""name"": ""การงาน"", ""star"": 4}, {""name"": ""การเงิน"", ""star"": 4}, {""name"": ""ความรัก"", ""star"": 5}]",universal,universal
0954311161,nice,0171150,899,31,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 2}, {""name"": ""ความรัก"", ""star"": 2}]",universal,universal
0969124666,sum,0171133,699,49,RF,"[{""name"": ""การงาน"", ""star"": 3}, {""name"": ""การเงิน"", ""star"": 3}, {""name"": ""ความรัก"", ""star"": 4}]",universal,universal
0842835666,luckypair,0207655,899,48,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 3}]",universal,universal
0829837776,A++,0197594,899,57,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 1}, {""name"": ""ความรัก"", ""star"": 1}]",rahu-AAAA,rahu-AAAA
0961636116,nice,0171149,699,39,RF,"[{""name"": ""การงาน"", ""star"": 1}, {""name"": ""การเงิน"", ""star"": 2}, {""name"": ""ความรัก"", ""star"": 2}]",universal,"ajchang,khanthep,universal"
